systemic_crisis,currency_crises,inflation_crises,banking_crisis,exch_usd,gdp_weighted_default,inflation_annual_cpi,domestic_debt_in_default,sovereign_external_debt_default,independence
0,0,0,0,0.2416,0,0.713958211,0,0,1
0,1,0,0,0.3484,0,0,0,0,1
0,0,0,0,0.3484,0,8.510015609,0,0,1
0,0,0,0,0.3484,0,7.599868141,0,0,1
0,0,0,0,0.3484,0,-10.25483916,0,0,1
0,0,0,0,0.3484,0,-0.952735624,0,0,1
0,0,0,0,0.3484,0,-2.885699962,0,0,1
0,0,0,0,0.3484,0,0,0,0,1
0,0,0,0,0.3484,0,3.961929343,0,0,1
0,0,0,0,0.3509,0,3.249231915,0,0,1
0,0,0,0,0.3509,0,-1.340547039,0,0,1
0,0,0,0,0.3509,0,0.694613697,0,0,1
0,0,0,0,0.3509,0,0.726128525,0,0,1
0,0,0,0,0.3509,0,1.17746005,0,0,1
0,1,0,0,0.4348,0,-4.203776274,0,0,1
0,0,0,0,0.4348,0,2.060865254,0,0,1
0,0,0,0,0.4348,0,7.824338769,0,0,1
0,0,0,0,0.4348,0,13.12090131,0,0,1
0,0,0,0,0.4348,0,6.693697414,0,0,1
0,0,0,0,0.4348,0,0.119617553,0,0,1
0,0,0,0,0.4348,0,0.455818017,0,0,1
0,0,0,0,0.4348,0,3.676736584,0,0,1
0,0,0,0,0.4348,0,3.36871659,0,0,1
0,0,0,0,0.4348,0,2.942979233,0,0,1
0,0,0,0,0.4348,0,2.424102664,0,0,1
0,0,0,0,0.4348,0,5.740312478,0,0,1
0,0,0,0,0.3913,0,10.64040499,0,0,1
0,0,0,0,0.3913,0,9.899265451,0,0,1
0,0,0,0,0.3913,0,10.29192345,0,0,1
0,0,0,0,0.3913,0,11.61462645,0,0,1
0,0,0,0,0.3913,0,11.27087249,0,0,1
0,1,0,0,0.7,0,9.90279235,0,0,1
1,0,1,0,0.699999999,0,20.5,0,0,1
1,0,0,1,0.699999999,0,10.4,0,0,1
1,0,0,1,0.699999999,0,14.9,0,0,1
1,0,0,1,0.699999999,0,15.982,0,0,1
0,0,0,0,0.7,0.4,17.06,0,1,1
0,0,0,0,0.7,0,12.108,0,0,1
0,0,1,0,0.7,0,23.9,0,0,1
0,0,1,0,0.7,0,25.185,0,0,1
0,0,0,0,0.7,0,15.185,0,0,1
0,1,1,0,1.1,0,20.129,0,0,1
0,1,1,1,2,0,21.219,0,0,1
0,1,0,1,3.33221,0,14.737,0,0,1
0,0,1,1,3.33861,0,21.142,0,0,1
0,0,0,1,3.3718,0,11.042,0,0,1
0,0,0,1,3.391,0,9.046,0,0,1
0,0,0,1,3.39,0,9.361,0,0,1
0,0,0,0,3.388,0,7.095,0,0,1
0,0,0,0,3.388,0,6.167,0,0,1
0,0,0,0,3.388,0,5.041,0,0,1
0,0,0,0,3.405,0,3.745,0,0,1
0,0,0,0,3.69,0,2.849,0,0,1
0,1,0,0,4.49,0,2.431,0,0,1
0,0,0,0,4.5,0,3.21,0,0,1
0,1,0,0,6.1532,0,0,0,0,1
0,0,0,0,6.1314,0,8.106,0,0,1
0,0,0,0,5.7322,0,8.826,0,0,1
0,0,0,0,5.7036,0,4.202,0,0,1
0,0,0,0,5.5038,0,10.959,0,0,1
0,0,0,0,5.5041,0,11.698,0,0,1
0,0,0,0,5.4754,0,16.24,0,0,1
0,0,0,0,5.7926,0,11.69,0,0,1
0,0,0,0,6.0169,0,11.09,0,0,1
0,0,0,0,6.3057,0,8.65,0,0,1
0,0,0,0,6.94,0,6.914,0,0,1
0,0,0,0,7.15,0,10.099,0,0,1
0,0,0,0,4.9582,0,9.339830607,0,0,0
0,0,0,0,4.9582,0,3.522920204,0,0,0
0,0,0,0,7.1428,0,8.553710537,0,0,0
0,0,0,0,7.1428,0,10.87767339,0,0,0
0,0,0,0,7.1428,0,6.450926123,0,0,0
0,0,0,0,7.1428,0,3.032,0,0,0
0,0,0,0,7.1429,0,4.410280301,0,0,0
0,0,0,0,7.1429,0,6.369450435,0,0,0
0,0,0,0,7.1429,0,1.786276086,0,0,0
0,0,0,0,7.1429,0,2.630675184,0,0,0
0,0,0,0,7.1429,0,0,0,0,0
0,0,0,0,7.1429,0,0.856645697,0,0,0
0,0,0,0,7.1429,0,0.846051758,0,0,0
0,0,0,0,7.1429,0,2.520151341,0,0,0
0,0,0,0,7.1429,0,2.740605244,0,0,0
0,0,0,0,7.1429,0,0,0,0,1
0,0,0,0,7.1429,0,-0.285715557,0,0,1
0,0,0,0,7.1429,0,5.762329909,0,0,1
0,0,0,0,7.1429,0,3.761913134,0,0,1
0,0,0,0,7.1429,0,0.537398087,0,0,1
0,0,0,0,7.1429,0,0.661865236,0,0,1
0,0,0,0,7.1429,0,-0.131090559,0,0,1
0,0,0,0,7.1429,0,1.832593812,0,0,1
0,0,0,0,7.1429,0,5.614773537,0,0,1
0,0,0,0,7.1429,0,4.52521913,0,0,1
0,0,0,0,6.9,0,12.66289775,0,0,1
0,0,0,0,7.1429,0,16.41376144,0,0,1
0,0,0,0,7.1429,0,19.7347384,0,0,1
0,1,0,0,8.27,0,9.527607326,0,0,1
0,0,0,0,7.9471,0,18.01088176,0,0,1
0,0,0,0,7.1588,0,15.35621451,0,0,1
0,0,0,0,7.3276,0,8.080283232,0,0,1
0,0,0,0,7.568499999,0,13.866,0,0,1
0,1,0,0,10.2862,0,7.895,0,0,1
0,1,0,0,12.7249,0,13.821,0,0,1
0,0,0,0,13.7959,0,11.603,0,0,1
0,0,1,0,15.7813,0,20.667,0,0,1
1,0,0,1,16.2843,0,11.398,0,0,1
1,0,0,1,16.0422,0,10.284,0,0,1
1,0,0,1,16.5149,0,13.007,0,0,1
1,0,0,1,18.5994,0,4.804,0,0,1
1,1,0,0,21.601,0,7.617,0,0,1
0,0,0,0,24.0841,0,11.2,0,0,1
0,1,0,0,28.0741,0,19.104,0,0,1
1,1,1,1,36.2163,0,27.332,0,0,1
1,1,1,1,68.1631,0,45.979,0,0,1
1,0,1,1,44.8389,0,28.814,0,1,1
1,0,0,1,55.9389,0,1.554,0,1,1
1,0,0,0,55.0211,0,8.862,0,1,1
1,0,0,0,62.6778,0,11.924,0,1,1
1,0,0,0,61.9056,0,6.716,0,1,1
1,1,0,0,72.9306,0,5.753,0,0,1
0,0,0,0,78.0361,0,9.955,0,1,1
0,0,0,0,78.6,0,5.824,0,0,1
0,0,0,0,77.0722,0,2.156,0,0,1
0,0,0,0,76.1389,0,5.983,0,0,1
0,0,0,0,77.3444,0,8.381,0,0,1
0,0,0,0,72.3667,0,7.823,0,0,1
0,0,0,0,69.3967,0,6.041,0,0,1
0,0,0,0,62.675,0,4.265,0,0,1
0,1,0,0,77.71111111,0,15.101,0,0,1
0,0,0,0,75.82,0,10.552,0,0,1
0,0,0,0,80.75194444,0,4.309,0,0,1
0,0,0,0,85.0681,0,14.022,0,0,1
0,0,0,0,86.0008,0,9.378,0,0,1
0,0,0,0,86.31,0,5.717,0,0,1
0,0,0,0,89.35,0,6.878,0,0,1
0,0,0,0,3.3085,0,-9.090909091,0,0,0
0,0,1,0,3.3085,0,31.99785465,0,0,0
0,0,0,0,4.7619,0,1.023932388,0,0,0
0,0,0,0,4.7619,0,4.904878735,0,0,0
0,0,0,0,4.79201,0,11.15115499,0,0,0
0,0,0,0,4.74495,0,1.941981994,0,0,0
0,0,0,0,4.74292,0,-0.634431887,0,0,0
0,0,0,0,4.78754,0,0.956872627,0,0,0
0,0,0,0,4.75544,0,-0.315372291,0,0,0
0,0,0,0,4.78651,0,2.857481221,0,0,0
0,0,0,0,4.66297,0,-0.926032535,0,0,0
0,0,0,0,4.75764,0,0.622571969,0,0,0
0,0,0,0,4.76189,0,-0.618719992,0,0,0
0,0,0,0,4.75544,0,1.8693761,0,0,0
0,0,0,0,4.74816,0,-0.612777053,0,0,0
0,0,0,0,4.75764,0,0.798570117,0,0,0
0,0,0,0,4.76768,0,1.753672463,0,0,1
0,0,0,0,4.77879,0,1.8269885,0,0,1
0,0,0,0,4.75714,0,1.893322561,0,0,1
0,0,0,0,4.77862,0,2.982014118,0,0,1
0,0,0,0,5.541,0,2.937830401,0,0,1
0,0,0,0,5.59189,0,5.329676052,0,0,1
0,0,0,0,5.55392,0,2.978677387,0,0,1
